"Timestamp"," Do you use any digital services(e.g., online banking, e-commerce)?","Gender","Age","Educational Qualification","Occupation","Monthly Income","Residence","How frequently do you use digital services?","How many years have you been using digital services?","Which of the following is the strongest password?","You receive an email asking you to click a link and urgently confirm your bank account details. What is the safest action?","Which of the following is a common indicator of a phishing message?","What is the primary purpose of two-factor authentication (2FA)?","Which website address generally indicates that the connection is encrypted?","What is the most appropriate action when a legitimate security update is available for your device or application?","If a message requests your bank PIN, password, or OTP, what should you do?","What is the safest approach when using an unsecured public Wi-Fi network?","What should you do if you suspect that your online account has been compromised?","Which statement about software security updates is correct?","Digital service providers adequately protect my personal information.","I believe my financial information is securely stored.","Privacy policies of digital platforms are clear and understandable.","I have control over how my personal information is used.","Digital platforms collect only the information necessary for providing services.","I am confident that my personal data will not be shared without my consent.","I feel safe when sharing personal information through digital services.","Digital services are available whenever I need them.","Digital platforms perform transactions accurately.","I rarely experience technical failures while using digital services.","Digital services recover quickly after technical problems.","Digital platforms provide consistent service quality.","I believe digital systems are dependable.","Digital services maintain secure and uninterrupted operations.","I trust digital service providers to handle my personal information responsibly.","I feel confident when using digital services for financial transactions.","I believe digital service providers take adequate measures to protect users from cybersecurity threats.","I am concerned that digital service providers may not adequately protect my personal information.","I believe digital service providers are reliable in delivering online services.","I would hesitate to use a digital service if I were uncertain about its security. ","I believe digital service providers act in the best interests of their users.","I consider digital services generally trustworthy.","I am willing to continue using digital services that provide adequate security and privacy protection.","I would recommend a digital service that I consider secure and reliable to others."
"2026/08/20 12:10:17 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Occasionally","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree"
"2026/08/20 12:10:39 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To provide an additional layer of identity verification","https://example.com","Disable security notifications","Provide the information if the message appears urgent","Share passwords over the network","Share the password with friends","They should always be disabled","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:17:13 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 12:17:54 PM GMT+1","Yes","Female","21–30","Postgraduate","Private Employee","Below £1000","Urban","Daily","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","example-free-login.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:21:58 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","£1001 - £1500","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","http://example.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Agree"
"2026/08/20 12:22:13 PM GMT+1","Yes","Female","21–30","Postgraduate","Others","Below £1000","Semi-Urban","Monthly","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They always reduce device security","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 12:24:44 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","Below £1000","Semi-Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To automatically change passwords","https://example.com","Disable security notifications","Provide the information if the message appears urgent","Avoid sensitive transactions on the unsecured network","Ignore the incident","They are generally unnecessary","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral"
"2026/08/20 12:26:04 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Rural","Occasionally","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Delete the application","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree"
"2026/08/20 12:29:36 PM GMT+1","Yes","Female","21–30","Diploma","Business","Above £2500","Rural","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To automatically change passwords","An unfamiliar shortened URL","Delete the application","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Agree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree"
"2026/08/20 12:29:58 PM GMT+1","Yes","Female","21–30","Postgraduate","Others","Below £1000","Semi-Urban","Monthly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To prevent all types of cyberattacks","example-free-login.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Strongly disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Agree","Neutral"
"2026/08/20 12:32:58 PM GMT+1","Yes","Male","41-50","Others","Business","Above £2500","Rural","Daily","More than 6 years","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Provide the information if the message appears urgent","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral"
"2026/08/20 12:32:58 PM GMT+1","Yes","Male","21–30","Postgraduate","Self-employed","£1001 - £1500","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree"
"2026/08/20 12:33:12 PM GMT+1","Yes","Male","31-40","Postgraduate","Business","£2001 - £2500","Semi-Urban","Daily","More than 6 years","Name@123","Avoid the link and contact the bank through its official channel","A message containing your name","To automatically change passwords","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They always reduce device security","Neutral","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral"
"2026/08/20 12:33:40 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 12:33:57 PM GMT+1","Yes","Female","31-40","Higher Secondary","Homemaker","Below £1000","Rural","Daily","More than 6 years","Name@123","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Provide the information if the message appears urgent","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree"
"2026/08/20 12:34:56 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Provide the information if the message appears urgent","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They always reduce device security","Agree","Agree","Agree","Neutral","Disagree","Neutral","Strongly disagree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Disagree","Agree","Strongly Agree"
"2026/08/20 12:36:08 PM GMT+1","Yes","Male","21–30","Undergraduate","Business","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Reply to the email for confirmation","A routine service notification","To automatically change passwords","https://example.com","Install the security update when appropriate","Provide the information if the message appears urgent","Share passwords over the network","Ignore the incident","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Strongly Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree"
"2026/08/20 12:36:19 PM GMT+1","Yes","Male","21–30","Postgraduate","Others","Below £1000","Semi-Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/20 12:36:58 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","Below £1000","Semi-Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Ignore the incident","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:37:18 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","£1001 - £1500","Urban","Weekly","Less than 1 year","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message containing your name","To automatically change passwords","http://example.com","Ignore it permanently","Provide only the OTP","Disable device security features","Ignore the incident","They are generally unnecessary","Strongly agree","Neutral","Agree","Agree","Agree","Strongly disagree","Agree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Neutral","Disagree","Strongly disagree","Neutral","Neutral","Agree","Neutral"
"2026/08/20 12:41:22 PM GMT+1","Yes","Male","21–30","Postgraduate","Private Employee","Below £1000","Semi-Urban","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To automatically change passwords","https://example.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Ignore the incident","They should always be disabled","Neutral","Neutral","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
"2026/08/20 12:44:32 PM GMT+1","Yes","Female","Below 20","Higher Secondary","Student","£1501 - £2000","Semi-Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To prevent all types of cyberattacks","https://example.com","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Strongly disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:45:13 PM GMT+1","Yes","Female","Below 20","Higher Secondary","Student","Below £1000","Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Strongly disagree","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:45:34 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 12:47:16 PM GMT+1","Yes","Male","21–30","Postgraduate","Student","£1501 - £2000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","example-free-login.com","Ignore it permanently","Provide only the OTP","Disable device security features","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Disagree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 12:47:32 PM GMT+1","Yes","Female","Below 20","Higher Secondary","Student","Below £1000","Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To prevent all types of cyberattacks","An unfamiliar shortened URL","Disable security notifications","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Ignore the incident","They always reduce device security","Neutral","Neutral","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:50:06 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 12:52:42 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A message from a known organisation","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Provide the information if the message appears urgent","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They always reduce device security","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 12:53:00 PM GMT+1","Yes","Female","Below 20","Higher Secondary","Student","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
"2026/08/20 1:19:28 PM GMT+1","Yes","Female","21–30","Higher Secondary","Others","Below £1000","Semi-Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/08/20 1:20:48 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:21:01 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:22:21 PM GMT+1","Yes","Male","Below 20","Higher Secondary","Student","Below £1000","Urban","Weekly","Less than 1 year","Name@123","Forward the email to friends","An urgent request for personal or financial information","To increase internet speed","http://example.com","Disable security notifications","Forward the information to another person","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They are generally unnecessary","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree"
"2026/08/20 1:23:46 PM GMT+1","Yes","Male","Below 20","Undergraduate","Student","Below £1000","Urban","Occasionally","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree","Agree"
"2026/08/20 1:29:53 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Urban","Daily","4–6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Neutral","Strongly agree","Disagree","Strongly agree","Disagree","Strongly disagree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 1:33:52 PM GMT+1","Yes","Female","21–30","Undergraduate","Homemaker","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 1:34:43 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Weekly","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree"
"2026/08/20 1:38:05 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:39:30 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:43:29 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:48:04 PM GMT+1","Yes","Male","Below 20","Higher Secondary","Student","Below £1000","Urban","Daily","Less than 1 year","12345678","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To provide an additional layer of identity verification","http://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Neutral","Disagree","Strongly disagree","Strongly Disagree","Strongly Disagree","Strongly disagree","Strongly Disagree"
"2026/08/20 1:50:06 PM GMT+1","Yes","Male","21–30","Undergraduate","Private Employee","Below £1000","Rural","Occasionally","4–6 years","Name@123","Avoid the link and contact the bank through its official channel","A message from a known organisation","To prevent all types of cyberattacks","https://example.com","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/08/20 1:50:10 PM GMT+1","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/20 1:51:54 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Disable security notifications","Provide the information if the message appears urgent","Conduct sensitive financial transactions normally","Continue using the account normally","They are generally unnecessary","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2026/08/20 1:54:20 PM GMT+1","Yes","Male","21–30","Others","Student","Below £1000","Rural","Occasionally","Less than 1 year","password123","Click the link and verify the account","A message from a known organisation","To prevent all types of cyberattacks","An unfamiliar shortened URL","Ignore it permanently","Provide the information if the message appears urgent","Disable device security features","Change the password and follow the provider's security procedures","They always reduce device security","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral"
"2026/08/20 1:55:22 PM GMT+1","Yes","Female","21–30","Postgraduate","Student","Below £1000","Semi-Urban","Occasionally","Less than 1 year","Name@123","Avoid the link and contact the bank through its official channel","A routine service notification","To provide an additional layer of identity verification","An unfamiliar shortened URL","Disable security notifications","Provide only the OTP","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They are generally unnecessary","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral"
"2026/08/20 2:04:47 PM GMT+1","Yes","Male","21–30","Undergraduate","Student","Below £1000","Rural","Daily","More than 6 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","A routine service notification","To provide an additional layer of identity verification","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree"
"2026/08/20 2:07:11 PM GMT+1","Yes","Female","21–30","Undergraduate","Student","Below £1000","Semi-Urban","Daily","1–3 years","T7#mQ9!vL2@p","Avoid the link and contact the bank through its official channel","An urgent request for personal or financial information","To prevent all types of cyberattacks","An unfamiliar shortened URL","Install the security update when appropriate","Do not provide the information and verify through an official channel","Avoid sensitive transactions on the unsecured network","Change the password and follow the provider's security procedures","They can help fix security vulnerabilities","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree"
